Pattern,Matches,Clue,Answer,Quality,Reviewed
moun_,mount mound,,,,True
_hit,whit chit,,,,True
_artridge,cartridge partridge,Game bird bullet,Partridge cartridge,2,True
_ho,who tho,,,,True
prepare_,prepared preparer,,,,True
_an,can man van ran pan jan fan dan ban tan han wan kan gan ean,,,,True
grim_,grimy grime,,,,True
suc_,such suck,,,,True
album_n,albumin albumen,,,,True
pr_mise,promise premise,,,,True
chro_ic,chronic chromic,,,,True
ur_,urn ure,,,,True
qu_ll,quill quell,,,,True
alm_,alma alms,,,,True
_ooked,hooked booked,,,,True
wor_y,worry wordy,Addled by Boggle,Wordy worry,2,True
sh_p,ship shop,,,,True
_ale,sale male pale tale dale hale gale vale bale kale rale,,,,True
blan_,blank bland blanc,,,,True
can_on,cannon canyon canton,,,,True
_laring,glaring flaring,,,,True
_orker,worker yorker,,,,True
_ierce,fierce pierce,,,,True
co_ch,coach couch conch,Shell seat,Conch couch,2,True
h_ke,hike hake,,,,True
l_ad,lead load,,,,True
ho_k,hook hock,,,,True
_otten,gotten rotten,,,,True
big_t,bight bigot,Bay of racists,Bigot bight,3,True
b_nnet,bonnet bennet,,,,True
sha_y,shady shaky shaly,,,,True
lea_,lead leaf lean leap leak lear leam leal,,,,True
l_dge,lodge ledge,,,,True
si_ing,siding sizing,,,,True
p_t,put pit pot pat pet,,,,True
terra_e,terrace terrane,,,,True
_ingle,single mingle jingle tingle dingle,,,,True
d_y,day dry dey,,,,True
br_ve,brave breve,,,,True
_utting,cutting putting jutting nutting butting,,,,True
duc_,duct duck,Waterbird conduit,Duck duct,2,True
r_pe,rope rape ripe,,,,True
tab_r,tabor taber,,,,True
s_ver,sever saver,,,,True
c_owder,crowder chowder,Getting too close to the soup,Chowder crowder,3,True
ci_,cit cid,,,,True
lav_,lava lave,,,,True
mar_,mark mary mars mare marc mart marl mara,,,,True
de_ree,degree decree,Order extent,Decree degree,3.0,True
wo_en,women woven,Ladies of the cloth,Woven women,3,True
p_jamas,pajamas pyjamas,,,,True
cl_tter,clutter clatter,,,,True
lo_i,lori loki,,,,True
_ardship,hardship wardship,,,,True
e_t,eat est eft eet,,,,True
_ack,back lack jack pack rack sack tack hack,,,,True
star_,start stark stare,,,,True
c_ore,crore chore,,,,True
truc_,truck truce,,,,True
sl_nder,slender slander,,,,True
qui_,quit quid quiz quin,,,,True
s_arling,starling snarling,Angry bird,Snarling starling,3,True
ha_t,hart hast halt haut haft,,,,True
he_t,heat heft,,,,True
_ee,see fee lee bee wee tee gee nee ree pee kee,,,,True
f_y,fly fry fay foy fey,Seared insect dish,Fly fry,3,True
sha_ing,shading shaving,,,,True
s_line,saline spline,,,,True
g_and,grand gland,Very enlarged thyroid,Grand gland,3,True
cr_ck,crack crick crock,,,,True
overse_,oversee oversea,,,,True
h_me,home hame,,,,True
adju_ant,adjutant adjuvant,,,,True
mo_est,modest molest,,,,True
_ook,book took look cook hook nook rook,,,,True
r_y,ray roy,,,,True
rever_,revert revere,,,,True
tops_il,topsoil topsail,,,,True
ba_t,bait bast,,,,True
l_nch,lunch lynch,Midday mob activity,Lunch lynch,2,True
mott_,motto motte,,,,True
vi_ual,visual vidual,,,,True
w_nd,wind wand wend,,,,True
_rash,crash trash brash,,,,True
al_s,alas alms,,,,True
gr_s,gros gris,,,,True
aphi_,aphis aphid,,,,True
_eering,veering jeering,,,,True
wor_,work word worn wore worm wort,,,,True
r_vel,revel ravel,,,,True
_oarse,coarse hoarse,,,,True
_ric,eric uric,,,,True
se_r,seer sear,,,,True
lem_n,lemon leman,,,,True
ma_se,masse manse,,,,True
d_mp,damp dump,,,,True
ti_kle,tickle tinkle,,,,True
lu_t,lust lunt,,,,True
e_ery,every emery,,,,True
_educer,reducer seducer,Rizz shrinker,Seducer reducer,3,True
n_s,nas nys nis,,,,True
_aken,taken oaken waken,,,,True
_oin,join coin loin,,,,True
co_ta,costa cotta,,,,True
cur_e,curve curse,,,,True
ferre_,ferret ferrer,,,,True
po_ting,posting potting pouting,,,,True
la_n,lawn lain,,,,True
live_,lives lived liver,,,,True
hu_,hut hud hub hue hum hug hun,The color of a shack,Hut hue,,True
p_easant,pleasant pheasant,Friendly peacock,Pleasant pheasant,-1,True
_lint,flint glint,,,,True
wea_er,weaver wearer,,,,True
_nce,once ance,,,,True
bu_y,busy bury buoy,Congested floating marker,Busy buoy,3,True
outli_e,outline outlive,,,,True
s_oner,sooner stoner,,,,True
cha_ter,chapter charter chatter,,,,True
dep_rt,depart deport,,,,True
d_wn,down dawn,,,,True
_rank,frank drank crank prank,,,,True
diato_ic,diatomic diatonic,,,,True
ag_,age ago aga,Long in the past,Age ago,2,True
_rest,crest brest wrest prest,,,,True
fa_ten,fasten fatten,,,,True
picke_,picked picket picker,,,,True
s_elling,swelling spelling smelling shelling,,,,True
gr_at,great groat,,,,True
curle_,curled curlew,,,,True
argu_,argue argus,,,,True
s_ick,stick slick,,,,True
sav_r,saver savor,,,,True
_har,char thar,,,,True
ch_m,chum cham,,,,True
_ooling,cooling pooling tooling,,,,True
sno_t,snout snort,,,,True
tub_,tube tuba,,,,True
lan_er,lander lanier,,,,True
m_ther,mother mather,,,,True
br_in,brain bruin,,,,True
tra_er,trader tracer,,,,True
_igh,high sigh nigh,,,,True
go_d,good gold goad,A first class prod,Gold goad,2.0,True
_ruise,cruise bruise,Result of a slip ship,Cruise bruise,3,True
cove_t,covert covent,Sneaky meeting,Covert covent,1,True
uph_ld,upheld uphold,,,,True
n_r,nor ner nur,,,,True
le_ge,ledge legge,,,,True
sk_ll,skill skull,,,,True
sli_e,slide slice slime,Cut the goo,Slice slime,2,True
bl_nd,blind blend blond bland,,,,True
_ymph,lymph nymph,,,,True
de_endant,defendant dependant,,,,True
_ullness,fullness dullness,,,,True
sed_tion,sedition sedation,Relaxing the rebels,Sedition sedation,3,True
close_,closer closet,Nearer of two wardrobes,Closer closet,,True
hast_,haste hasty,,,,True
me_e,mere mete,,,,True
b_ttle,battle bottle,,,,True
_amb,lamb jamb,,,,True
d_ng,dung ding dang,,,,True
coll_sion,collision collusion,,,,True
si_uate,situate sinuate,,,,True
_aver,saver waver laver,,,,True
war_,warm ward ware warn warp wary wart wark,Hospital wing for the cautious,Wary ward,3,True
_ilo,silo kilo,,,,True
buddhis_,buddhist buddhism,,,,True
awar_,aware award,,,,True
glea_,gleam glean,,,,True
d_do,dido dodo,Extinct bird prank,Dodo dido,2,True
fran_,frank franc,,,,True
a_rial,aerial atrial,,,,True
vei_,vein veil,,,,True
spr_e,spree sprue,,,,True
_ranch,branch cranch,,,,True
t_pical,typical topical,,,,True
we_d,weed weld wend,,,,True
hee_,heel heed heer,,,,True
_hase,phase chase,Stage of pursuit,Chase phase,3,True
d_rt,dirt dart,,,,True
swi_,swim swig,,,,True
sa_k,sank sack,,,,True
re_eat,repeat reheat,,,,True
clo_k,clock cloak,Veil of time,Clock cloak,,True
d_ad,dead dyad,,,,True
aug_r,auger augur,,,,True
_id,did aid mid bid rid kid lid hid cid tid fid,,,,True
cr_me,crime creme,,,,True
_lace,place glace,,,,True
_enor,tenor senor,,,,True
su_fer,suffer surfer,Doom scroller,Suffer surfer,3,True
socialis_,socialist socialism,,,,True
j_st,just jest,Only kidding,Just jest,3,True
alle_,alley aller,,,,True
blo_,blow blot blob,,,,True
car_,care card carl cart carp,,,,True
assu_e,assume assure,,,,True
falsi_y,falsity falsify,,,,True
academ_,academy academe,,,,True
n_de,node nude,,,,True
w_ight,weight wright,,,,True
_usk,dusk rusk musk husk lusk tusk,,,,True
forcibl_,forcibly forcible,,,,True
_ag,bag tag lag rag sag gag nag wag dag hag jag fag,,,,True
fr_eze,freeze frieze,,,,True
pend_nt,pendant pendent,,,,True
ou_,out our,,,,True
_oyally,loyally royally,,,,True
d_le,dale dole dele,,,,True
clas_,class clash clasp,Socioeconomic conflict,Class clash,3,True
whis_,whisk whist,,,,True
se_l,sell seal,,,,True
_ave,have gave save wave cave nave pave rave lave,,,,True
e_er,ever ewer,,,,True
t_t,tit tot tat tut,,,,True
en_ourage,encourage entourage,Pump up the retinue,Encourage entourage,2,True
_acing,facing racing lacing,,,,True
d_rby,derby darby,,,,True
_hatter,chatter shatter,,,,True
l_y,lay ley loy,,,,True
ka_,kan kat kam,,,,True
vagu_,vague vagus,,,,True
_ortex,cortex vortex,,,,True
c_rious,curious carious,,,,True
_ights,lights tights,,,,True
delu_e,deluge delude,Fool the flood,Delude deluge,2,True
s_eed,speed steed sneed,,,,True
hoo_ed,hooked hooded,,,,True
_apacious,capacious rapacious,,,,True
_hock,shock chock,,,,True
mat_,math mate matt,,,,True
curtai_,curtain curtail,Trim the drapes,Curtail curtain,2,True
f_g,fig fog fag,,,,True
o_a,ova ora oca,,,,True
_oax,coax hoax,,,,True
pa_try,pastry pantry paltry,Tiny croissant,Paltry pastry,3,True
_nclosure,enclosure inclosure,,,,True
_lanting,planting slanting,,,,True
slo_,slow slot slop,,,,True
hit_er,hither hitter,,,,True
_iability,liability viability,,,,True
t_pping,topping tipping,,,,True
ros_n,rosen rosin,,,,True
h_mp,hemp hump,,,,True
r_bber,rubber robber,Condom theif,Rubber robber,2,True
rema_e,remake remade,,,,True
brin_,bring brine brink,Come with sea water,Bring brine,3,True
o_ium,opium odium,Heroin stigma,Opium odium,2,True
_layer,player slayer,,,,True
wee_,week weed weep weel ween,,,,True
radiat_,radiate radiata,,,,True
_hopping,chopping whopping,Huge axe wound,Whopping chopping,2,True
r_cking,rocking racking,,,,True
morta_,mortal mortar,,,,True
s_lver,silver solver,,,,True
stin_ing,stinging stinking,,,,True
b_et,beet bret,,,,True
sca_y,scary scaly,,,,True
gl_ssy,glossy glassy,,,,True
sw_rd,sword sward,,,,True
gra_ing,grazing grading grating,,,,True
mi_a,mica mina mira,,,,True
_oil,soil coil boil foil toil,,,,True
_iling,filing piling tiling,,,,True
ex_lt,exalt exult,,,,True
_asten,hasten fasten,,,,True
as_en,aspen ashen,,,,True
d_ne,done dine dane dune,,,,True
a_b,abb alb,,,,True
dir_,dirt dire dirk,,,,True
vai_,vain vail,,,,True
o_t,out oft ost ort,,,,True
so_p,soap soup,,,,True
lea_ed,leaved leaded leafed,,,,True
_eedless,needless heedless seedless,,,,True
poli_y,policy polity,,,,True
c_ndor,candor condor,Vulture honesty,Condor candor,3,True
wal_ing,walking walling,,,,True
_arren,warren barren,Deserted rabbit home,Barren warren,3,True
r_b,rob rib rub rab,,,,True
g_mma,gamma gemma,,,,True
si_,six sir sit sin sic sip sis sig sib,,,,True
_erce,perce merce,,,,True
ricket_,rickets rickety,,,,True
smel_ing,smelting smelling,,,,True
