Pattern,Matches,MatchesText,Use,Clue,Pair,Quality,Difficulty
be_ore,"['before', 'begore']",before begore,n,,,,
_uring,"['during', 'curing']",during curing,n,,,,
d_ring,"['during', 'daring']",during daring,n,,,,
_umber,"['number', 'lumber', 'cumber']",number lumber cumber,n,,,,
uni_ed,"['united', 'uniped']",united uniped,n,,,,
unite_,"['united', 'uniter']",united uniter,n,,,,
_ittle,"['little', 'tittle', 'kittle']",little tittle kittle,n,,,,
scho_l,"['school', 'schorl']",school schorl,n,,,,
sec_nd,"['second', 'secund']",second secund,n,,,,
_eport,"['report', 'deport']",report deport,n,,,,
re_ort,"['report', 'resort', 'retort']",report resort retort,y,Retreat comeback,Resort retort,3,
_aving,"['having', 'saving', 'paving', 'raving']",having saving paving raving,n,,,,
_ounty,"['county', 'bounty', 'mounty']",county bounty mounty,n,,,,
_ourse,"['course', 'bourse']",course bourse,n,,,,
co_rse,"['course', 'coarse']",course coarse,y,Rough route,Coarse course,2,
_ffect,"['effect', 'affect']",effect affect,n,,,,
e_fect,"['effect', 'enfect']",effect enfect,n,,,,
_hough,"['though', 'chough', 'shough']",though chough shough,n,,,,
t_ough,"['though', 'trough']",though trough,n,,,,
p_rson,"['person', 'parson']",person parson,n,,,,
per_on,"['person', 'perron']",person perron,n,,,,
_ealth,"['health', 'wealth', 'dealth']",health wealth dealth,n,,,,
hea_th,"['health', 'hearth']",health hearth,y,Fireplace vigor,Hearth health,3,
cha_ge,"['change', 'charge']",change charge,n,,,,
chan_e,"['change', 'chance']",change chance,n,,,,
f_mily,"['family', 'fumily']",family fumily,n,,,,
_ither,"['either', 'hither', 'wither', 'zither', 'tither', 'lither']",either hither wither zither tither lither,n,,,,
_ather,"['rather', 'father', 'gather', 'mather', 'lather', 'bather']",rather father gather mather lather bather,y,Pop in a tub,Father bather,3,
r_ther,"['rather', 'rother']",rather rother,n,,,,
ra_her,"['rather', 'rasher']",rather rasher,y,Prefer a bit of bacon,Rather rasher,3,
rat_er,"['rather', 'ratter']",rather ratter,n,,,,
_igure,"['figure', 'ligure']",figure ligure,n,,,,
fi_ure,"['figure', 'fixure']",figure fixure,n,,,,
_atter,"['matter', 'latter', 'batter', 'patter', 'hatter', 'natter', 'tatter', 'ratter']",matter latter batter patter hatter natter tatter ratter,n,,,,
m_tter,"['matter', 'mutter']",matter mutter,n,,,,
ma_ter,"['matter', 'master']",matter master,y,Stuff virtuoso,Matter master,3,
mat_er,"['matter', 'mather']",matter mather,n,,,,
matte_,"['matter', 'matted']",matter matted,n,,,,
_etter,"['better', 'letter', 'fetter', 'setter', 'getter', 'tetter', 'jetter']",better letter fetter setter getter tetter jetter,n,,,,
b_tter,"['better', 'butter', 'bitter', 'batter']",better butter bitter batter,n,,,,
be_ter,"['better', 'beater']",better beater,n,,,,
